phecodes,task,phenotype
293.0,293.0,Symptoms involving head and neck
293.1,293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"
295.0,295.0,Schizophrenia and other psychotic disorders
295.1,295.1,Schizophrenia
295.2,295.2,Paranoid disorders
295.3,295.3,Psychosis
296.0,296.0,Mood disorders
296.1,296.1,Bipolar
296.2,296.2,Depression
296.22,296.22,Major depressive disorder
297.0,297.0,Suicidal ideation or attempt
297.1,297.1,Suicidal ideation
297.2,297.2,Suicide or self-inflicted injury
300.0,300.0,"Anxiety, phobic and dissociative disorders"
300.1,300.1,Anxiety disorder
300.11,300.11,Generalized anxiety disorder
300.12,300.12,"Agorophobia, social phobia, and panic disorder"
300.13,300.13,Phobia
300.2,300.2,Generalized anxiety & phobic disorders
300.3,300.3,Obsessive-compulsive disorders
300.4,300.4,Dysthymic disorder
300.8,300.8,Acute reaction to stress
300.9,300.9,Posttraumatic stress disorder
301.0,301.0,Personality disorders
301.1,301.1,Schizoid personality disorder
301.2,301.2,Antisocial/borderline personality disorder
302.0,302.0,Sexual and gender identity disorders
302.1,302.1,Decreased libido
303.0,303.0,Psychogenic and somatoform disorders
303.1,303.1,Dissociative disorder
